,precision,recall
0,0.13238332362133814,1.0
1,0.13236034222445897,0.9997999199679872
2,0.13236384827293918,0.9997999199679872
3,0.13236735450716539,0.9997999199679872
4,0.1323708609271523,0.9997999199679872
5,0.1323743675329148,0.9997999199679872
6,0.13237787432446751,0.9997999199679872
7,0.1323813813018253,0.9997999199679872
8,0.1323848884650029,0.9997999199679872
9,0.1323883958140151,0.9997999199679872
10,0.13239190334887666,0.9997999199679872
11,0.13239541106960231,0.9997999199679872
12,0.13239891897620687,0.9997999199679872
13,0.13240242706870511,0.9997999199679872
14,0.13240593534711181,0.9997999199679872
15,0.13240944381144173,0.9997999199679872
16,0.13241295246170967,0.9997999199679872
17,0.13241646129793042,0.9997999199679872
18,0.1324199703201187,0.9997999199679872
19,0.1324234795282894,0.9997999199679872
20,0.1324269889224572,0.9997999199679872
21,0.13243049850263694,0.9997999199679872
22,0.1324340082688434,0.9997999199679872
23,0.1324375182210914,0.9997999199679872
24,0.1324410283593957,0.9997999199679872
25,0.1324445386837711,0.9997999199679872
26,0.1324480491942324,0.9997999199679872
27,0.13245155989079438,0.9997999199679872
28,0.13245507077347188,0.9997999199679872
29,0.13245858184227965,0.9997999199679872
30,0.13246209309723253,0.9997999199679872
31,0.1324656045383453,0.9997999199679872
32,0.13246911616563278,0.9997999199679872
33,0.13247262797910977,0.9997999199679872
34,0.1324761399787911,0.9997999199679872
35,0.13247965216469154,0.9997999199679872
36,0.13248316453682593,0.9997999199679872
37,0.13248667709520906,0.9997999199679872
38,0.13249018983985578,0.9997999199679872
39,0.13249370277078085,0.9997999199679872
40,0.13249721588799915,0.9997999199679872
41,0.13250072919152547,0.9997999199679872
42,0.13250424268137462,0.9997999199679872
43,0.13250775635756146,0.9997999199679872
44,0.13251127022010076,0.9997999199679872
45,0.1325147842690074,0.9997999199679872
46,0.13251829850429617,0.9997999199679872
47,0.13252181292598192,0.9997999199679872
48,0.13252532753407945,0.9997999199679872
49,0.13252884232860362,0.9997999199679872
50,0.13253235730956928,0.9997999199679872
51,0.13253587247699122,0.9997999199679872
52,0.13253938783088431,0.9997999199679872
53,0.13254290337126337,0.9997999199679872
54,0.13254641909814324,0.9997999199679872
55,0.13254993501153878,0.9997999199679872
56,0.1325534511114648,0.9997999199679872
57,0.13255696739793618,0.9997999199679872
58,0.13256048387096775,0.9997999199679872
59,0.13256400053057435,0.9997999199679872
60,0.13256751737677083,0.9997999199679872
61,0.13257103440957207,0.9997999199679872
62,0.1325745516289929,0.9997999199679872
63,0.13257806903504815,0.9997999199679872
64,0.1325815866277527,0.9997999199679872
65,0.13258510440712143,0.9997999199679872
66,0.13258862237316918,0.9997999199679872
67,0.13259214052591078,0.9997999199679872
68,0.13259565886536115,0.9997999199679872
69,0.1325991773915351,0.9997999199679872
70,0.1326026961044475,0.9997999199679872
71,0.13260621500411326,0.9997999199679872
72,0.13260973409054722,0.9997999199679872
73,0.13261325336376423,0.9997999199679872
74,0.1326167728237792,0.9997999199679872
75,0.13262029247060697,0.9997999199679872
76,0.13262381230426243,0.9997999199679872
77,0.13262733232476046,0.9997999199679872
78,0.13263085253211593,0.9997999199679872
79,0.13263437292634372,0.9997999199679872
80,0.13263789350745872,0.9997999199679872
81,0.1326414142754758,0.9997999199679872
82,0.13264493523040985,0.9997999199679872
83,0.13264845637227576,0.9997999199679872
84,0.13265197770108839,0.9997999199679872
85,0.13265549921686268,0.9997999199679872
86,0.13265902091961346,0.9997999199679872
87,0.13266254280935566,0.9997999199679872
88,0.1326660648861042,0.9997999199679872
89,0.1326695871498739,0.9997999199679872
90,0.13267310960067968,0.9997999199679872
91,0.13267663223853648,0.9997999199679872
92,0.13268015506345918,0.9997999199679872
93,0.1326836780754627,0.9997999199679872
94,0.13268720127456188,0.9997999199679872
95,0.13269072466077167,0.9997999199679872
96,0.13269424823410697,0.9997999199679872
97,0.1326977719945827,0.9997999199679872
98,0.13270129594221372,0.9997999199679872
99,0.132704820077015,0.9997999199679872
100,0.13270834439900142,0.9997999199679872
101,0.13271186890818792,0.9997999199679872
102,0.1327153936045894,0.9997999199679872
103,0.13271891848822076,0.9997999199679872
104,0.13272244355909696,0.9997999199679872
105,0.13272596881723286,0.9997999199679872
106,0.13272949426264344,0.9997999199679872
107,0.13273301989534358,0.9997999199679872
108,0.13273654571534824,0.9997999199679872
109,0.13274007172267233,0.9997999199679872
110,0.13274359791733079,0.9997999199679872
111,0.13274712429933852,0.9997999199679872
112,0.1327506508687105,0.9997999199679872
113,0.1327541776254616,0.9997999199679872
114,0.1327577045696068,0.9997999199679872
115,0.13276123170116103,0.9997999199679872
116,0.13276475902013923,0.9997999199679872
117,0.1327682865265563,0.9997999199679872
118,0.13277181422042725,0.9997999199679872
119,0.13277534210176697,0.9997999199679872
120,0.13277887017059042,0.9997999199679872
121,0.13278239842691256,0.9997999199679872
122,0.1327859268707483,0.9997999199679872
123,0.13278945550211263,0.9997999199679872
124,0.13279298432102046,0.9997999199679872
125,0.1327965133274868,0.9997999199679872
126,0.13280004252152652,0.9997999199679872
127,0.13280357190315464,0.9997999199679872
128,0.1328071014723861,0.9997999199679872
129,0.1328106312292359,0.9997999199679872
130,0.13281416117371891,0.9997999199679872
131,0.13281769130585014,0.9997999199679872
132,0.13282122162564458,0.9997999199679872
133,0.13282475213311715,0.9997999199679872
134,0.13282828282828282,0.9997999199679872
135,0.1328318137111566,0.9997999199679872
136,0.1328353447817534,0.9997999199679872
137,0.13283887604008826,0.9997999199679872
138,0.1328424074861761,0.9997999199679872
